area_m2,lat,lon,price_usd
54.0,23.634501,-102.552788,323529.4117647059
100.0,19.279771,-99.234597,54509.82352941176
135.0,23.634501,-102.552788,377058.82352941175
87.0,19.432657,-99.177444,259764.70588235295
100.0,19.367025,-99.170349,185294.11764705883
57.0,23.634501,-102.552788,104974.64705882352
83.0,19.3794059,-99.1591446,192488.23529411765
103.0,19.36269,-99.150565,74117.64705882352
149.0,,,59800.64705882353
56.0,19.4024128,-99.0953907,79117.64705882352
80.0,19.35782,-99.149406,76176.4705882353
60.0,19.504985,-99.208557,27058.823529411766
120.0,19.376792,-99.153132,288235.29411764705
50.0,19.354219,-99.126244,105105.88235294117
90.0,19.367728,-99.156645,158764.70588235295
90.0,19.400785,-99.147419,85294.11764705883
114.0,19.39177,-99.159996,104180.35294117648
65.0,19.366632,-99.1979,44774.882352941175
80.0,19.400731,-99.125466,76000.0
83.0,,,219705.88235294117
61.0,19.337163,-99.080899,44000.0
55.0,19.435666,-99.14973,50000.0
120.0,19.393401,-99.165187,275294.1176470588
112.0,19.431629,-99.162762,125098.0
60.0,19.2990233,-99.0436467,59605.882352941175
65.0,19.453854,-99.193979,40023.529411764706
60.0,19.458968,-99.152898,33452.705882352944
90.0,19.394073,-99.153915,188235.29411764705
65.0,19.332034,-99.062028,40176.470588235294
50.0,19.305214,-99.046887,18943.529411764706
147.0,19.387245,-99.147388,138235.29411764705
63.0,19.366081,-99.139389,118117.64705882352
64.0,19.370272,-99.149127,41529.41176470588
70.0,19.386715,-99.143999,89117.64705882352
70.0,19.458968,-99.152898,33452.705882352944
70.0,19.445471,-99.17317,76176.4705882353
70.0,19.443903,-99.171681,58549.0
100.0,19.314831,-99.140445,65862.17647058824
86.0,19.317741,-99.119331,69941.17647058824
80.0,19.305984,-99.127341,119823.5294117647
60.0,19.365843,-99.149901,85882.35294117648
80.0,19.365843,-99.149901,88235.29411764706
90.0,19.399841,-99.154813,76588.23529411765
73.0,19.394073,-99.153915,173529.41176470587
70.0,19.465454,-99.162665,62352.94117647059
52.0,19.405298,-99.164986,174667.64705882352
90.0,23.634501,-102.552788,176470.58823529413
69.0,19.334546,-99.207876,69070.58823529411
56.0,,,176470.58823529413
69.0,19.403312,-99.151204,147235.29411764705
70.0,19.376392,-99.192439,41354.41176470588
80.0,19.416439,-99.125632,46164.705882352944
70.0,19.401456,-99.146787,101764.70588235294
54.0,19.4045899,-99.0601489,52882.35294117647
84.0,19.4169673,-99.1658498,288235.29411764705
97.0,19.400249,-99.177444,220588.23529411765
62.0,19.4553585442,-99.1632923484,111123.5294117647
90.0,19.440749,-99.141649,88823.5294117647
90.0,19.484532,-99.207027,86127.41176470589
97.0,19.379376,-99.165182,188235.29411764705
98.0,19.389044,-99.179657,58823.529411764706
110.0,19.478473,-99.120734,138235.29411764705
98.0,19.469769,-99.157379,144757.5294117647
85.0,19.452143,-99.181477,74196.82352941176
65.0,19.3499358,-99.2906864,164705.88235294117
74.0,19.3807458,-99.1553016,172705.88235294117
64.0,19.386551,-99.193708,105882.35294117648
64.0,19.466822,-99.157379,85294.11764705883
63.0,19.370501,-99.139389,121082.35294117648
150.0,19.382986,-99.241837,201176.4705882353
75.0,19.462425,-99.17654,35529.41176470588
105.0,19.408904,-99.174556,119372.5294117647
75.0,19.474885,-99.188231,79411.76470588235
56.0,19.36994,-99.007399,34294.117647058825
93.0,19.358585,-99.185753,251711.76470588235
70.0,19.379525,-99.188914,61294.117647058825
80.0,19.400731,-99.125466,76000.0
110.0,19.4124708,-99.1717827,238235.29411764705
80.0,19.428324,-99.176337,195642.9411764706
70.0,19.480501,-99.178139,51176.470588235294
64.0,,,150976.4705882353
81.0,23.634501,-102.552788,69411.76470588235
60.0,,,62352.94117647059
78.0,19.402752,-99.098587,110000.0
90.0,19.465454,-99.162665,84155.05882352941
108.0,19.3853063,-99.1521292,250000.0
105.0,19.408904,-99.174556,119372.5294117647
95.0,19.290953,-99.124863,61705.882352941175
60.0,,,73529.41176470589
100.0,,,274235.29411764705
137.0,19.418048,-99.158527,82352.94117647059
70.0,19.405883,-99.183079,35588.23529411765
70.0,19.471896,-99.224024,47811.76470588235
63.0,19.309208,-99.171906,58823.529411764706
60.0,19.304501,-99.123121,53235.294117647056
75.0,19.39365,-99.14769,176058.82352941178
64.0,19.409369,-99.171906,270117.64705882355
75.0,19.36269,-99.150565,74117.64705882352
150.0,19.3392293,-99.2189838,282352.9411764706
51.0,19.400097,-99.122093,99941.17647058824
97.0,19.367025,-99.170349,185294.11764705883
75.0,19.484532,-99.207027,85539.17647058824
65.0,19.278198,-99.200831,77647.05882352941
74.0,19.383251,-99.105499,42470.58823529412
75.0,19.461871,-99.129227,58132.35294117647
60.0,19.422398,-99.167129,83176.4705882353
52.0,,,51644.705882352944
63.0,19.303736,-99.163605,118387.76470588235
75.0,19.453513,-99.210223,44196.117647058825
120.0,19.365766,-99.263112,201176.4705882353
50.0,19.439037,-99.119514,38764.705882352944
76.0,,,44405.882352941175
66.0,19.384327,-99.215523,52941.17647058824
60.0,19.317698,-99.061256,38764.705882352944
100.0,19.422201,-99.159447,160039.23529411765
90.0,19.503195,-99.206723,76470.58823529411
74.0,19.405298,-99.164986,251764.70588235295
95.0,19.3687777,-99.1897886,188235.29411764705
59.0,19.524143,-99.160149,38235.294117647056
65.0,19.325608,-99.06112,35411.76470588235
100.0,19.3677299,-99.1527773,176470.58823529413
70.0,19.332149,-99.244008,95647.05882352941
64.0,19.410307,-99.065399,100000.0
112.0,19.403489,-99.156312,285294.1176470588
60.0,19.379109,-99.187689,61294.117647058825
85.0,19.452419,-99.175058,57647.05882352941
50.0,19.287188,-99.170525,76470.58823529411
60.0,19.475187,-99.175019,49352.94117647059
120.0,19.367931,-99.170262,134705.88235294117
81.0,19.367424,-99.185753,158823.5294117647
101.0,19.314895,-99.09423,67647.05882352941
76.0,19.273716,-99.186416,51882.35294117647
64.0,19.365391,-99.18956,156235.29411764705
75.0,19.396862,-99.172659,96941.17647058824
100.0,23.634501,-102.552788,188235.29411764705
106.0,19.3714480121,-99.149787426,205882.35294117648
